country_name,Density(P/Km2),Birth Rate,Co2-Emissions,CPI Change (%),Fertility Rate,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Country name,Happiness Score,Social support,Freedom to make life choices,Generosity,Perceptions of corruption
Ukraine,75,8.7,202250.0,0.079,1.3,153781069118.0,7.5,71.6,19.0,0.84,0.478,2.99,44385155.0,0.201,0.452,0.0888,30835699.0,48.379433,31.16558,Ukraine,4.875,0.888,0.724,-0.011,0.924
Iraq,93,29.08,190061.0,0.004,3.67,234094042939.0,22.5,70.5,79.0,1.24,0.765,0.71,39309783.0,0.02,0.308,0.1282,27783368.0,33.223191,43.679291,Iraq,4.854,0.746,0.63,-0.053,0.875
Gabon,9,31.61,5321.0,0.021,3.97,16657960228.0,32.7,66.2,252.0,1.46,0.259,0.68,2172579.0,0.102,0.471,0.2,1949694.0,-0.803689,11.609444,Gabon,4.852,0.776,0.731,-0.2,0.84
Burkina Faso,76,37.93,3418.0,-0.032,5.19,15745810235.0,49.0,61.2,320.0,0.34,0.361,0.08,20321378.0,0.15,0.413,0.0626,6092349.0,12.238333,-1.561593,Burkina Faso,4.834,0.672,0.695,-0.009,0.748
Cambodia,95,22.46,9919.0,0.025,2.5,27089389787.0,24.0,69.6,160.0,,0.594,0.17,16486542.0,0.171,0.231,0.0068,3924621.0,12.565679,104.990963,Cambodia,4.83,0.765,0.959,0.034,0.843
Mozambique,40,37.52,7943.0,0.028,4.85,14934159926.0,54.0,60.2,289.0,0.27,0.068,0.08,30366036.0,0.0,0.361,0.0324,11092106.0,-18.665695,35.529562,Mozambique,4.794,0.744,0.882,0.061,0.684
Nigeria,226,37.91,120369.0,0.114,5.39,448120428859.0,75.7,54.3,917.0,0.54,0.722,0.38,200963599.0,0.015,0.348,0.081,102806948.0,9.081999,8.675277,Nigeria,4.759,0.74,0.737,0.037,0.878
Mali,17,41.54,3179.0,-0.017,5.88,17510141171.0,62.0,58.9,562.0,0.23,0.463,0.13,19658031.0,0.116,0.545,0.0722,8479688.0,17.570692,-3.996166,Mali,4.723,0.724,0.697,-0.036,0.827
Iran,52,18.78,661710.0,0.399,2.14,445345282123.0,12.4,76.5,16.0,1.58,0.397,1.58,82913906.0,0.074,0.447,0.1138,62509623.0,32.427908,53.688046,Iran,4.721,0.71,0.608,0.218,0.714
Uganda,229,38.14,5680.0,0.029,4.96,34387229486.0,33.8,63.0,375.0,0.01,0.405,0.17,44269594.0,0.117,0.337,0.0184,10784516.0,1.373333,32.290275,Uganda,4.636,0.781,0.709,0.122,0.855
